,comment,author,author_url,published_at
115,shame palastinians attacking israel world palastinians,@Smithlark,http://www.youtube.com/channel/UCM6ZgJTb1i1317vvr6OhfaQ,2023-12-08T01:41:29Z
116,israel god bless nation history repeat,@demosthenesmargaha1401,http://www.youtube.com/channel/UCCu448EDv_hn_8cXB8D0XPg,2023-12-08T01:39:15Z
117,disrespect christian wish shalom also christian new testament tells jesus said disciples peace leave peace give unto world gives give unto let heart troubled neither let afraid john peace passes understanding true christians comes god israel may know peace mountains shall depart hills removed kindness shall depart thee neither shall covenant peace removed saith lord hath mercy thee isaiah shalom,@BuckMckawtheotherone,http://www.youtube.com/channel/UCB5T1slnFEjvjiL5MubA4Kw,2023-12-08T01:29:12Z
118,hamas exists israel always colonizes palestinian territory palestinian people expelled homes destroyed civilians killed detained blame hamas,@chimot7014,http://www.youtube.com/channel/UCcAxpEa8nTcdLiHyWfBsbZA,2023-12-08T01:26:42Z
120,israel praying stand love stand firm redheart,@christopherblackwood4505,http://www.youtube.com/channel/UCc1LTsl-hQlBOCdK1z_TGNA,2023-12-08T01:13:13Z
121,true news,@user-sh2dp5gh4p,http://www.youtube.com/channel/UCuPJqnArLD8psCn6YmYdA_g,2023-12-08T01:00:11Z
122,german stand israel one hundred percent thank report please care pows taken,@Alex-jb5tb,http://www.youtube.com/channel/UCdFhZl6Tj-p0qIB-_-yDBSQ,2023-12-08T00:56:57Z
123,god almighty creator heaven earth preserve protect israelites gods chosen people hostages jesus mighty name indexpointinguplatincrossfoldedhands,@mikedixen2415,http://www.youtube.com/channel/UCNac0G7ZKshsbWlDYzptdHA,2023-12-08T00:55:31Z
124,israelaustraliagod bless protect israel australiaisrael,@carlosezapata3500,http://www.youtube.com/channel/UChQFbPsCkgjVdYvtdP4NErA,2023-12-08T00:49:13Z
125,palestinians wanted palestine river sea israel helping bringing sea closer riverfacewithtearsofjoyfacewithtearsofjoy,@hullub-vb8pf,http://www.youtube.com/channel/UCLU5h0TQKzUVZb0BgDKb9Xw,2023-12-08T00:44:06Z
128,nazism islam become one,@alfieromorallos9380,http://www.youtube.com/channel/UClXDsRxr2FSvSchXq2WVNTg,2023-12-08T00:34:25Z
130,israel israel forever,@user-qw1pz4xh2i,http://www.youtube.com/channel/UCTqKmxuCN0FaPRmLHZpIxqQ,2023-12-08T00:30:13Z
131,divine angels lord protect israel hope peace come soon glory israel,@maximilianjuanillo9712,http://www.youtube.com/channel/UCdbpeBymPU4RSagIa1IBtVg,2023-12-08T00:17:07Z
132,love hebrew word day additionsmilingfacewithhearteyes god bless israel alwaysredheartisraelhundredpoints,@eunicegabriellatan9140,http://www.youtube.com/channel/UCZVaEy8qs0TWpMZECXUfOCg,2023-12-08T00:13:47Z
134,fake news facewithtearsofjoy,@mahmoodmirza6565,http://www.youtube.com/channel/UCgMCMOCp7tuOOR1Ltfmx4Nw,2023-12-07T23:56:51Z
135,lying worst weapon choice israeli people,@mahmoodmirza6565,http://www.youtube.com/channel/UCgMCMOCp7tuOOR1Ltfmx4Nw,2023-12-07T23:54:19Z
136,may god bless wjc israel jewish brothers sisters idf jesus holy name give joyous songs onto lord amen,@craigtdg930,http://www.youtube.com/channel/UC8t8TnuQAe1IlAzBkWsTZRg,2023-12-07T23:47:32Z
138,may lord god israel bless world jewish congress israelamen,@Micheal-cu5on,http://www.youtube.com/channel/UCIu_7CMgzDjNtvsVl04wxMg,2023-12-07T23:34:11Z
142,amenthank jesus accompanying idf loved israel philippines,@melldicray2806,http://www.youtube.com/channel/UCArjnXS_nFPi1TmvFQvFrrA,2023-12-07T23:21:31Z
144,yahya coward humble opinion probably surrender require diaper change facewithraisedeyebrow,@jennyhildreth7507,http://www.youtube.com/channel/UCUNLiTQTNQmvEwBXyDvqdkA,2023-12-07T23:19:08Z
146,jew jesus mother rest jews follower jesus therefore jews may god abraham god isaac god jacob blessed protect,@finestliving7580,http://www.youtube.com/channel/UCVaHLvIjkp-gr-XoFfAh7-A,2023-12-07T23:12:59Z
147,islam uses tactics allahs war raping mutilating destroying etc top dying evil things get virgins eternal orgasm wives watching heaven beds dangerous phatetic religion,@odiekaleka6029,http://www.youtube.com/channel/UCgfldx4H2w9DK_SpLMH2-xA,2023-12-07T23:12:45Z
148,israelisraelisraelredheartredheartredheartredhearthundredpointshundredpointshundredpoints,@AD-yo5my,http://www.youtube.com/channel/UC9waLYCimYHxqx1rbwXq75A,2023-12-07T23:11:54Z
149,shouldnt responsible humanitarian aid valliantly god yalls side god bless every oneof,@crystalhopper6395,http://www.youtube.com/channel/UCwtmNA3u3KK_v8jyfbyDIYQ,2023-12-07T22:53:05Z
150,ilove israel israel redheartredheartredheartilove ukraine ukraine redheart redheartredheart god bless,@RenieSasuman,http://www.youtube.com/channel/UCNB_iUnx-Ta0GK4y-GKMZ8Q,2023-12-07T22:48:24Z
151,god save bless protect israel foreverlove israel gods chosen people elder brothers sister christiansredheartredheart,@AnitaCiffroy-rx2dm,http://www.youtube.com/channel/UCw39WAnrj9ovtLmAll00NWQ,2023-12-07T22:48:23Z
152,google stay longer time walls closing mark zuckerbergs friendly nazi piece dirt stay piece crap matter flip around first enemy united states israel course thet rest world combined collecting money whole world hes going burry money long confiscated cia fbi federal supreme court united states bring money back belongs treasury department bastard like one belong united get straightened,@johnsofferr4328,http://www.youtube.com/channel/UC7OZodkb4FUnyyoWlnUokuw,2023-12-07T22:46:40Z
153,someone needs remind iran happened december seventh,@nytom4info,http://www.youtube.com/channel/UCzxhYMBzGjEFP397Eg1dYrQ,2023-12-07T22:45:21Z
155,god bless israel blueheartisraelstarofdavidfoldedhandsheardmcdonaldislands,@joanneguerrisi888,http://www.youtube.com/channel/UC31i65EZCfSMaEKuML6jD-Q,2023-12-07T22:39:18Z
156,theres thing palestinian stop please,@valar7568,http://www.youtube.com/channel/UCH60i4c2G96nMpMn2cZYicQ,2023-12-07T22:39:08Z
157,hopefully nato countries europe asia open eyes fact israel united states england genuine heavy class terrorist countries,@husainbaligojek5775,http://www.youtube.com/channel/UCWrwSS0KvKShUpwzipOwtjg,2023-12-07T22:36:03Z
158,god bless israel protect,@jamesozechoski8254,http://www.youtube.com/channel/UC9biEU484EixHOqwVxJMV8g,2023-12-07T22:35:17Z
161,almighty god please help israel defense forces rescued hostages protect jerusalem foldedhandsfoldedhandsfoldedhandsredheartisraelisraelisraelphilippines,@edjuliano6483,http://www.youtube.com/channel/UCEfwoP6e2844gKR9jk5FEfQ,2023-12-07T22:30:42Z
163,shalom israel may peace foldedhands,@young1939,http://www.youtube.com/channel/UCf-zt2v5gDcecmUU4mDIxsQ,2023-12-07T22:19:55Z
164,sinwar one philistines islamic terrorists hamas jihadi leader cuddled hezbollah islamic brotherhood need watchful careful fsb neighbouring countries agents giving fighting tactics,@melvincaramba2942,http://www.youtube.com/channel/UCp7nn8IE3UGizvMixx9baWA,2023-12-07T22:19:23Z
166,catholic family loved pray israelis brothers sisters idf god bless take care,@alicemeneses9500,http://www.youtube.com/channel/UCVweMW2hbg5NnOF5pi6UCAQ,2023-12-07T22:14:01Z
168,good bless idf israel citizens praying gods mercy redheartfoldedhandsfoldedhands,@momshouse9705,http://www.youtube.com/channel/UCrEUFNue0qMpx2RlW57q1Gg,2023-12-07T22:06:26Z
169,apathetic towards anything everything one goal say proudly evil,@orwanunu,http://www.youtube.com/channel/UCdhoe4UtwZnOv4wUYbrTiDw,2023-12-07T22:05:13Z
170,shalom israel israel spainisraelpuertorico,@josealbertocampillo7973,http://www.youtube.com/channel/UC7ldLOYCOo1LPz8VLRV390Q,2023-12-07T22:03:52Z
171,happy first day hanukkah israel god stand peopleamenamenamen,,http://www.youtube.com/channel/UC12pjkCMzOsL41Q7ZSnku2Q,2023-12-07T22:02:04Z
173,hashem watchful mighty protection idf benjamin netanyahu leadership redheart foldedhands israel,@1nanahouse,http://www.youtube.com/channel/UC2Z_x_pthnKDApDdTfarIQw,2023-12-07T21:51:35Z
174,unrw aid agency infiltrated hamas silent partners keep hamas supplied financed,@sue_downing555,http://www.youtube.com/channel/UCfgZCikNJBTJtlQvzNaMvQw,2023-12-07T21:50:30Z
176,yeshua hamashiach true light world light lights every person comes salvation jews need cry pain baruch haba bshem adonai yisrael chai israelisraelisrael,@tomobrien5795,http://www.youtube.com/channel/UC5O6LwZVBr5wCFrKZCDfxdw,2023-12-07T21:50:09Z
177,hamas proved oct cowards lust jewish women,@barbarawray3388,http://www.youtube.com/channel/UCU6dz6MTZ9c_GBgHiPYOfog,2023-12-07T21:47:06Z
179,thank updates praying idf several times day love,@debraclark7617,http://www.youtube.com/channel/UC4JjXpwnvTew7ubn7QuTl0g,2023-12-07T21:37:25Z
181,arrest yahya sinwar soon title profile evil refer yahya sinwarfacewithtearsofjoyfacewithtearsofjoyfacewithtearsofjoyfacewithtearsofjoyfacewithtearsofjoyfacewithtearsofjoy,@SorminaESar,http://www.youtube.com/channel/UCcwSJA5Fbu2RG4amQL0GweQ,2023-12-07T21:33:20Z
183,innocents gaza hamas supporters collaborators,@LanceRomanceF4E,http://www.youtube.com/channel/UCxCNXmJdq9XXI7b7rn-YYzw,2023-12-07T21:28:01Z
186,cryingpensiveface heavenly father please protect soldiersits sad lost againfather god begging soldiers died israelgod please protect everywhere gothank much father amenfoldedhandsprayerbeadsisraelphilippinesunitedstatesnewzealandjapansouthkoreadottedsixpointedstarstarofdavidmenorahlatincrossrosehibiscussalutingfacesalutingfacesalutingfacesalutingfacesalutingface,@herminiadejesus9389,http://www.youtube.com/channel/UCpZEchr6liqSYYx3Zi4QE-A,2023-12-07T21:20:25Z
187,israel god bless protect israel god deliver evil around always praying israel michael australia,@michaelparkinson4046,http://www.youtube.com/channel/UCFYhTwI-AjJb-7Nqe3FsZhQ,2023-12-07T21:17:47Z
